image,json,mask
data/images/201/frame0029_leftImg8bit.jpg,data/mask/201/frame0029_gtFine_polygons.json,data/ouput/201/frame0029_gtFine_polygons.png
data/images/201/frame0299_leftImg8bit.jpg,data/mask/201/frame0299_gtFine_polygons.json,data/ouput/201/frame0299_gtFine_polygons.png
data/images/201/frame0779_leftImg8bit.jpg,data/mask/201/frame0779_gtFine_polygons.json,data/ouput/201/frame0779_gtFine_polygons.png
data/images/201/frame1019_leftImg8bit.jpg,data/mask/201/frame1019_gtFine_polygons.json,data/ouput/201/frame1019_gtFine_polygons.png
data/images/201/frame1469_leftImg8bit.jpg,data/mask/201/frame1469_gtFine_polygons.json,data/ouput/201/frame1469_gtFine_polygons.png
data/images/201/frame1979_leftImg8bit.jpg,data/mask/201/frame1979_gtFine_polygons.json,data/ouput/201/frame1979_gtFine_polygons.png
data/images/201/frame2519_leftImg8bit.jpg,data/mask/201/frame2519_gtFine_polygons.json,data/ouput/201/frame2519_gtFine_polygons.png
data/images/201/frame2819_leftImg8bit.jpg,data/mask/201/frame2819_gtFine_polygons.json,data/ouput/201/frame2819_gtFine_polygons.png
data/images/201/frame3179_leftImg8bit.jpg,data/mask/201/frame3179_gtFine_polygons.json,data/ouput/201/frame3179_gtFine_polygons.png
data/images/201/frame3749_leftImg8bit.jpg,data/mask/201/frame3749_gtFine_polygons.json,data/ouput/201/frame3749_gtFine_polygons.png
data/images/201/frame4079_leftImg8bit.jpg,data/mask/201/frame4079_gtFine_polygons.json,data/ouput/201/frame4079_gtFine_polygons.png
data/images/202/frame0018_leftImg8bit.jpg,data/mask/202/frame0018_gtFine_polygons.json,data/ouput/202/frame0018_gtFine_polygons.png
data/images/202/frame0389_leftImg8bit.jpg,data/mask/202/frame0389_gtFine_polygons.json,data/ouput/202/frame0389_gtFine_polygons.png
data/images/203/frame0165_leftImg8bit.jpg,data/mask/203/frame0165_gtFine_polygons.json,data/ouput/203/frame0165_gtFine_polygons.png
data/images/203/frame0435_leftImg8bit.jpg,data/mask/203/frame0435_gtFine_polygons.json,data/ouput/203/frame0435_gtFine_polygons.png
data/images/203/frame0525_leftImg8bit.jpg,data/mask/203/frame0525_gtFine_polygons.json,data/ouput/203/frame0525_gtFine_polygons.png
data/images/203/frame0630_leftImg8bit.jpg,data/mask/203/frame0630_gtFine_polygons.json,data/ouput/203/frame0630_gtFine_polygons.png
data/images/203/frame0675_leftImg8bit.jpg,data/mask/203/frame0675_gtFine_polygons.json,data/ouput/203/frame0675_gtFine_polygons.png
data/images/203/frame0945_leftImg8bit.jpg,data/mask/203/frame0945_gtFine_polygons.json,data/ouput/203/frame0945_gtFine_polygons.png
data/images/203/frame1012_leftImg8bit.jpg,data/mask/203/frame1012_gtFine_polygons.json,data/ouput/203/frame1012_gtFine_polygons.png
data/images/203/frame1185_leftImg8bit.jpg,data/mask/203/frame1185_gtFine_polygons.json,data/ouput/203/frame1185_gtFine_polygons.png
data/images/203/frame1222_leftImg8bit.jpg,data/mask/203/frame1222_gtFine_polygons.json,data/ouput/203/frame1222_gtFine_polygons.png
data/images/203/frame1252_leftImg8bit.jpg,data/mask/203/frame1252_gtFine_polygons.json,data/ouput/203/frame1252_gtFine_polygons.png
data/images/203/frame1394_leftImg8bit.jpg,data/mask/203/frame1394_gtFine_polygons.json,data/ouput/203/frame1394_gtFine_polygons.png
data/images/203/frame1517_leftImg8bit.jpg,data/mask/203/frame1517_gtFine_polygons.json,data/ouput/203/frame1517_gtFine_polygons.png
data/images/203/frame1777_leftImg8bit.jpg,data/mask/203/frame1777_gtFine_polygons.json,data/ouput/203/frame1777_gtFine_polygons.png
data/images/203/frame1885_leftImg8bit.jpg,data/mask/203/frame1885_gtFine_polygons.json,data/ouput/203/frame1885_gtFine_polygons.png
data/images/203/frame1975_leftImg8bit.jpg,data/mask/203/frame1975_gtFine_polygons.json,data/ouput/203/frame1975_gtFine_polygons.png
data/images/203/frame2230_leftImg8bit.jpg,data/mask/203/frame2230_gtFine_polygons.json,data/ouput/203/frame2230_gtFine_polygons.png
data/images/203/frame2305_leftImg8bit.jpg,data/mask/203/frame2305_gtFine_polygons.json,data/ouput/203/frame2305_gtFine_polygons.png
data/images/203/frame2410_leftImg8bit.jpg,data/mask/203/frame2410_gtFine_polygons.json,data/ouput/203/frame2410_gtFine_polygons.png
data/images/203/frame2530_leftImg8bit.jpg,data/mask/203/frame2530_gtFine_polygons.json,data/ouput/203/frame2530_gtFine_polygons.png
data/images/203/frame2605_leftImg8bit.jpg,data/mask/203/frame2605_gtFine_polygons.json,data/ouput/203/frame2605_gtFine_polygons.png
data/images/203/frame2680_leftImg8bit.jpg,data/mask/203/frame2680_gtFine_polygons.json,data/ouput/203/frame2680_gtFine_polygons.png
data/images/203/frame2909_leftImg8bit.jpg,data/mask/203/frame2909_gtFine_polygons.json,data/ouput/203/frame2909_gtFine_polygons.png
data/images/203/frame3239_leftImg8bit.jpg,data/mask/203/frame3239_gtFine_polygons.json,data/ouput/203/frame3239_gtFine_polygons.png
data/images/203/frame3299_leftImg8bit.jpg,data/mask/203/frame3299_gtFine_polygons.json,data/ouput/203/frame3299_gtFine_polygons.png
data/images/204/frame0066_leftImg8bit.jpg,data/mask/204/frame0066_gtFine_polygons.json,data/ouput/204/frame0066_gtFine_polygons.png
data/images/204/frame0221_leftImg8bit.jpg,data/mask/204/frame0221_gtFine_polygons.json,data/ouput/204/frame0221_gtFine_polygons.png
data/images/204/frame0397_leftImg8bit.jpg,data/mask/204/frame0397_gtFine_polygons.json,data/ouput/204/frame0397_gtFine_polygons.png
data/images/204/frame0611_leftImg8bit.jpg,data/mask/204/frame0611_gtFine_polygons.json,data/ouput/204/frame0611_gtFine_polygons.png
data/images/204/frame0791_leftImg8bit.jpg,data/mask/204/frame0791_gtFine_polygons.json,data/ouput/204/frame0791_gtFine_polygons.png
data/images/204/frame1011_leftImg8bit.jpg,data/mask/204/frame1011_gtFine_polygons.json,data/ouput/204/frame1011_gtFine_polygons.png
data/images/204/frame10164_leftImg8bit.jpg,data/mask/204/frame10164_gtFine_polygons.json,data/ouput/204/frame10164_gtFine_polygons.png
